kilo-Electron Volt [keV],Counts
4.040,68.497
4.050,60.497
4.060,73.497
4.070,92.497
4.080,65.497
4.090,47.558
4.100,56.633
4.110,65.709
4.120,76.799
4.130,92.899
4.140,75
4.150,48.101
4.160,57.226
4.170,38.392
4.180,67.558
4.190,88.724
4.200,67.889
4.210,61.055
4.220,75.221
4.230,62.387
4.240,74.603
4.250,83.829
4.260,83.055
4.270,79.281
4.280,67.508
4.290,66.734
4.300,64.96
4.310,63.186
4.320,68.412
4.330,53.638
4.340,48.864
4.350,69.09
4.360,74.317
4.370,61.543
4.380,73.769
4.390,65.995
4.400,81.221
4.410,88.447
4.420,86.769
4.430,76.106
4.440,76.447
4.450,51.789
4.460,50.131
4.470,59.472
4.480,70.814
4.490,65.156
4.500,63.497
4.510,50.839
4.520,59.181
4.530,66.523
4.540,64.864
4.550,43.206
4.560,44.558
4.570,41.91
4.580,50.251
4.590,53.593
4.600,56.935
4.610,52.276
4.620,52.618
4.630,44.96
4.640,50.302
4.650,67.643
4.660,61.985
4.670,77.327
4.680,83.668
4.690,73.01
4.700,73.352
4.710,69.749
4.720,33.146
4.730,45.472
4.740,67.799
4.750,76.126
4.760,57.452
4.770,55.779
4.780,53.106
4.790,62.432
4.800,67.759
4.810,74.085
4.820,53.427
4.830,68.769
4.840,75.111
4.850,63.452
4.860,47.814
4.870,64.176
4.880,73.538
4.890,75.899
4.900,57.261
4.910,50.623
4.920,56.985
4.930,42.347
4.940,70.709
4.950,55.07
4.960,36.432
4.970,26.769
4.980,60.055
4.990,64.342
5.000,77.628
5.010,78.915
5.020,47.201
5.030,61.487
5.040,61.774
5.050,73.06
5.060,67.347
5.070,61.633
5.080,79.92
5.090,44.206
5.100,59.492
5.110,77.779
5.120,69.065
5.130,53.377
5.140,62.688
5.150,74
5.160,36.312
5.170,68.623
5.180,77.935
5.190,56.246
5.200,48.558
5.210,35.869
5.220,39.181
5.230,26.492
5.240,78.764
5.250,50.035
5.260,71.307
5.270,64.578
5.280,49.849
5.290,49.121
5.300,54.392
5.310,74.668
5.320,68.945
5.330,58.241
5.340,71.538
5.350,65.834
5.360,51.131
5.370,61.427
5.380,49.724
5.390,65.02
5.400,78.317
5.410,91.613
5.420,87.91
5.430,81.206
5.440,73.503
5.450,72.799
5.460,69.095
5.470,83.392
5.480,65.688
5.490,62.985
5.500,58.281
5.510,63.578
5.520,71.874
5.530,67.171
5.540,65.467
5.550,56.764
5.560,44.06
5.570,56.362
5.580,63.663
5.590,60.965
5.600,46.266
5.610,36.568
5.620,32.864
5.630,63.141
5.640,50.417
5.650,16.693
5.660,50.91
5.670,68.126
5.680,45.342
5.690,52.563
5.700,64.784
5.710,64.005
5.720,56.246
5.730,65.487
5.740,60.729
5.750,53.97
5.760,68.211
5.770,52.452
5.780,53.693
5.790,57.935
5.800,53.176
5.810,79.417
5.820,53.658
5.830,37.899
5.840,44.141
5.850,76.382
5.860,58.623
5.870,49.864
5.880,76.106
5.890,68.347
5.900,48.588
5.910,68.829
5.920,41.08
5.930,55.332
5.940,37.583
5.950,56.834
5.960,40.085
5.970,55.337
5.980,43.588
5.990,68.839
6.000,59.09
6.010,51.342
6.020,46.628
6.030,58.915
6.040,53.201
6.050,41.487
6.060,62.774
6.070,23.06
6.080,41.327
6.090,46.593
6.100,43.859
6.110,22.126
6.120,45.382
6.130,37.638
6.140,44.894
6.150,75.151
6.160,57.407
6.170,50.663
6.180,60.92
6.190,50.176
6.200,62.432
6.210,52.688
6.220,41.945
6.230,28.201
6.240,65.457
6.250,54.714
6.260,57.97
6.270,44.226
6.280,48.482
6.290,56.739
6.300,60.995
6.310,85.251
6.320,88.508
6.330,99.764
6.340,60.02
6.350,84.276
6.360,115.53
6.370,92.789
6.380,107.05
6.390,87.302
6.400,120.56
6.410,136.81
6.420,98.07
6.430,86.327
6.440,105.58
6.450,92.839
6.460,97.095
6.470,78.352
6.480,75.608
6.490,76.864
6.500,54.121
6.510,69.402
6.520,39.683
6.530,65.965
6.540,30.246
6.550,40.513
6.560,60.779
6.570,71.045
6.580,55.312
6.590,60.578
6.600,46.844
6.610,73.111
6.620,64.377
6.630,71.643
6.640,55.91
6.650,68.176
6.660,54.442
6.670,65.709
6.680,50.975
6.690,23.241
6.700,62.452
6.710,43.663
6.720,46.874
6.730,63.085
6.740,43.296
6.750,40.508
6.760,26.719
6.770,64.93
6.780,41.141
6.790,53.352
6.800,22.563
6.810,44.759
6.820,26.955
6.830,55.151
6.840,19.347
6.850,22.523
6.860,40.698
6.870,39.874
6.880,50.05
6.890,36.276
6.900,46.503
6.910,46.729
6.920,65.955
6.930,31.181
6.940,39.407
6.950,80.633
6.960,31.859
6.970,59.085
6.980,49.312
6.990,45.538
7.000,42.764
7.010,30.99
7.020,44.216
7.030,49.442
7.040,41.668
7.050,47.894
7.060,60.121
7.070,45.347
7.080,49.573
7.090,32.799
7.100,54.025
7.110,20.251
7.120,48.452
7.130,23.653
7.140,45.854
7.150,44.055
7.160,63.256
7.170,46.457
7.180,37.658
7.190,55.859
7.200,64.06
7.210,27.261
7.220,35.462
7.230,23.663
7.240,49.864
7.250,30.065
7.260,30.266
7.270,36.467
7.280,50.668
7.290,22.869
7.300,70.065
7.310,19.261
7.320,30.437
7.330,40.613
7.340,42.789
7.350,46.965
7.360,35.141
7.370,27.317
7.380,27.492
7.390,52.668
7.400,49.844
7.410,53.02
7.420,53.196
7.430,44.387
7.440,43.578
7.450,84.769
7.460,50.96
7.470,49.151
7.480,39.342
7.490,52.533
7.500,41.724
7.510,67.915
7.520,45.106
7.530,24.296
7.540,53.487
7.550,22.678
7.560,40.864
7.570,28.05
7.580,28.236
7.590,57.422
7.600,35.608
7.610,58.794
7.620,39.995
7.630,39.196
7.640,19.397
7.650,31.573
7.660,27.749
7.670,18.925
7.680,47.095
7.690,46.266
7.700,15.437
7.710,19.588
7.720,59.739
7.730,39.889
7.740,37.04
7.750,46.191
7.760,49.342
7.770,23.492
7.780,40.643
7.790,27.794
7.800,34.945
7.810,32.095
7.820,41.246
7.830,34.397
7.840,33.548
7.850,36.698
7.860,36.849
7.870,34
7.880,26.151
7.890,45.302
7.900,16.452
7.910,42.628
7.920,55.804
7.930,50.98
7.940,36.156
7.950,30.332
7.960,34.508
7.970,32.683
7.980,39.859
7.990,37.035
8.000,11.211
8.011,35.352
8.021,61.508
8.031,26.663
8.041,38.819
8.051,28.975
8.061,22.131
8.071,40.286
8.081,44.442
8.091,14.598
8.101,47.754
8.111,36.91
8.121,49.065
8.131,30.221
8.141,53.377
8.151,54.533
8.161,37.719
8.171,29.905
8.181,58.09
8.191,30.276
8.201,29.462
8.211,47.648
8.221,42.834
8.231,46.02
8.241,49.206
8.251,47.392
8.261,43.578
8.271,40.764
8.281,37.95
8.291,49.136
8.301,28.322
8.311,41.508
8.321,16.693
8.331,20.879
8.341,27.065
8.351,50.251
8.361,42.437
8.371,33.623
8.381,24.809
8.391,35.995
8.401,40.181
8.411,34.367
8.421,46.553
8.431,31.739
8.441,52.925
