kilo-Electron Volt [keV],Counts
0.101,135
0.111,24
0.121,0
0.131,32.68
0.141,278.06
0.151,460.45
0.161,192.85
0.171,73.262
0.181,61.685
0.191,75.982
0.201,111.25
0.211,149.52
0.221,199.81
0.231,259.12
0.241,380.43
0.251,509.76
0.261,575.09
0.271,587.44
0.281,596.81
0.291,586.18
0.301,528.56
0.311,470.95
0.321,406.35
0.331,350.76
0.341,300.19
0.351,269.62
0.361,277.06
0.371,261.5
0.381,279.96
0.391,308.43
0.401,317.9
0.411,303.38
0.421,314.87
0.431,349.37
0.441,395.87
0.451,461.39
0.461,613.9
0.471,821.43
0.481,994.96
0.491,1180.5
0.501,1397
0.511,1522.6
0.521,1680.2
0.531,1548.7
0.541,1453.3
0.551,1153.9
0.561,846.46
0.571,631.05
0.581,432.64
0.591,278.24
0.601,206.85
0.611,109.46
0.621,91.072
0.631,57.693
0.641,66.312
0.651,77.935
0.661,57.564
0.671,81.121
0.681,85.684
0.691,97.252
0.701,82.825
0.711,83.404
0.721,95.988
0.731,95.577
0.741,66.171
0.751,85.745
0.761,76.325
0.771,92.91
0.781,71.5
0.791,87.095
0.801,96.694
0.811,95.298
0.821,102.91
0.831,66.52
0.841,81.052
0.851,100.55
0.861,104.06
0.871,137.58
0.881,102.1
0.891,106.62
0.901,84.15
0.911,124.5
0.921,127.85
0.931,119.21
0.941,132.58
0.951,129.96
0.961,114.34
0.971,138.71
0.981,130.08
0.991,118.46
1.001,115.85
1.011,138.21
1.021,149.59
1.031,138.97
1.041,175.36
1.051,117.75
1.061,161.96
1.071,191.18
1.081,152.4
1.091,161.59
1.101,181.47
1.111,168.36
1.121,177.19
1.131,193.99
1.141,181.79
1.151,191.58
1.161,182.37
1.171,184.16
1.181,178.94
1.191,188.68
1.201,187.41
1.211,204.12
1.221,190.82
1.231,210.48
1.241,197.14
1.251,226.75
1.261,211.36
1.271,231.97
1.281,232.59
1.291,206.2
1.301,232.81
1.311,236.43
1.321,197.04
1.331,193.65
1.341,231.16
1.351,211.67
1.361,237.04
1.371,263.4
1.381,235.76
1.391,273.07
1.401,248.38
1.411,243.68
1.421,239.99
1.431,244.27
1.441,243.54
1.451,241.81
1.461,269.03
1.471,279.25
1.481,246.47
1.491,280.63
1.501,270.79
1.511,281.95
1.521,292.12
1.531,267.28
1.541,273.44
1.551,270.6
1.561,246.76
1.571,241.92
1.581,260.08
1.591,251.23
1.601,263.39
1.611,235.54
1.621,240.66
1.631,251.77
1.641,249.87
1.651,259.98
1.661,251.09
1.671,265.19
1.681,255.3
1.691,308.4
1.701,286.51
1.711,277.61
1.721,257.72
1.731,295.82
1.741,286.93
1.751,312.04
1.761,268.14
1.771,285.25
1.781,323.35
1.791,308.46
1.801,312.56
1.811,268.67
1.821,272.77
1.831,279.88
1.841,293.98
1.851,308.09
1.861,273.2
1.871,273.3
1.881,256.41
1.891,248.51
1.901,250.62
1.911,268.72
1.921,290.83
1.931,255.93
1.941,246.04
1.951,294.15
1.961,298.25
1.971,275.36
1.981,272.46
1.991,256.57
2.001,258.67
2.011,264.78
2.021,238.88
2.031,233.99
2.041,242.1
2.051,220.2
2.061,234.31
2.071,242.41
2.081,247.52
2.091,235.62
2.101,241.73
2.111,275.83
2.121,249.11
2.131,232.54
2.141,254.97
2.151,230.4
2.161,220.83
2.171,231.27
2.181,246.12
2.191,246.15
2.201,223.2
2.211,228.33
2.221,245.61
2.231,242.89
2.241,189.18
2.251,198.46
2.261,246.74
2.271,245.02
2.281,247.3
2.291,230.58
2.301,204.86
2.311,204.15
2.321,207.43
2.331,226.71
2.341,209.99
2.351,222.27
2.361,225.55
2.371,207.83
2.381,208.12
2.391,206.4
2.401,234.68
2.411,240.96
2.421,214.24
2.431,208.52
2.441,210.8
2.451,214.09
2.461,191.37
2.471,177.65
2.481,175.93
2.491,200.21
2.501,173.49
2.511,168.77
2.521,170.06
2.531,192.34
2.541,191.62
2.551,173.9
2.561,185.18
2.571,203.46
2.581,172.74
2.591,166.03
2.601,199.31
2.611,201.59
2.621,178.87
2.631,187.16
2.641,200.44
2.651,168.73
2.661,158.08
2.671,156.42
2.681,154.77
2.691,183.12
2.701,214.46
2.711,186.81
2.721,149.16
2.731,153.5
2.741,185.87
2.751,177.24
2.761,169.6
2.771,182.97
2.781,177.34
2.791,129.7
2.801,138.07
2.811,179.44
2.821,185.8
2.831,170.25
2.841,171.72
2.851,179.19
2.861,178.66
2.871,150.14
2.881,154.61
2.891,166.08
2.901,156.72
2.911,140.37
2.921,151.01
2.931,164.65
2.941,162.3
2.951,162.94
2.961,151.6
2.971,145.27
2.981,158.93
2.991,162.59
3.001,161.28
3.011,147.97
3.021,129.66
3.031,129.35
3.041,138.04
3.051,167.91
3.061,162.78
3.071,132.66
3.081,117.58
3.091,109.55
3.101,124.52
3.111,123.64
3.121,120.96
3.131,116.29
3.141,127.65
3.151,124.07
3.161,118.49
3.171,123.9
3.181,152.38
3.191,166.86
3.201,157.38
3.211,160.9
3.221,143.48
3.231,135.07
3.241,112.69
3.251,122.32
3.261,132.95
3.271,132.58
3.281,119.21
3.291,100.83
3.301,115.46
3.311,116.09
3.321,117.72
3.331,106.45
3.341,110.19
3.351,113.06
3.361,110.93
3.371,113.81
3.381,102.75
3.391,102.68
3.401,124.62
3.411,148.55
3.421,156.52
3.431,128.49
3.441,133.46
3.451,161.48
3.461,148.5
3.471,170.52
3.481,180.6
3.491,196.68
3.501,265.76
3.511,316.84
3.521,354.92
3.531,450
3.541,578.08
3.551,788.16
3.561,1087.2
3.571,1529.3
3.581,2250.4
3.591,3269.5
3.601,4468.6
3.611,6020.8
3.621,7999.9
3.631,10223
3.641,12676
3.651,15068
3.661,17070
3.671,18563
3.681,19748
3.691,20346
3.701,20078
3.711,19123
3.721,17524
3.731,15312
3.741,12833
3.751,10480
3.761,8262.4
3.771,6296.6
3.781,4608.8
3.791,3275
3.801,2263.2
3.811,1539.4
3.821,1058.6
3.831,703.79
3.841,500
3.851,401.21
3.861,335.41
3.871,304.62
3.881,331.82
3.891,383.03
3.901,467.24
3.911,596.44
3.921,775.65
3.931,930.85
3.941,1130.1
3.951,1405.3
3.961,1680.5
3.971,1893.7
3.981,2144.9
3.991,2423.1
4.001,2529.3
4.011,2539.5
4.021,2506.7
4.031,2449.9
4.041,2256.1
4.051,2066.4
4.061,1805.6
4.071,1485.8
4.081,1222.1
4.091,939.3
4.101,744.53
4.111,589.76
4.121,400.99
4.131,285.23
4.141,239.46
4.151,194.69
4.161,123.92
4.171,92.809
4.181,91.543
4.191,74.266
4.201,45.899
4.211,60.387
4.221,78.874
4.231,66.362
4.241,55.849
4.251,81.337
4.261,88.824
4.271,74.312
4.281,51.799
4.291,98.286
4.301,120.77
4.311,129.26
4.321,173.75
4.331,202.24
4.341,266.72
4.351,334.21
4.361,471.7
4.371,672.19
4.381,983.67
4.391,1412.2
4.401,1985.6
4.411,2834.1
4.421,3757.6
4.431,4948.1
4.441,6194.6
4.451,7786.1
4.461,9443.6
4.471,10814
4.481,12073
4.491,13180
4.501,13914
4.511,14184
4.521,13891
4.531,13187
4.541,12094
4.551,10713
4.561,9137.5
4.571,7550
4.581,6084.5
4.591,4789
4.601,3606.5
4.611,2693
4.621,1943.6
4.631,1342.1
4.641,888.68
4.651,608.24
4.661,421.79
4.671,278.34
4.681,198.9
4.691,142.46
4.701,137.02
4.711,107.57
4.721,92.131
4.731,100.69
4.741,104.25
4.751,111.8
4.761,139.36
4.771,138.92
4.781,188.48
4.791,201.04
4.801,242.59
4.811,322.15
4.821,386.71
4.831,451.27
4.841,607.82
4.851,779.38
4.861,890.94
4.871,1064.5
4.881,1358.1
4.891,1523.7
4.901,1687.3
4.911,1755.9
4.921,1811.5
4.931,1901.2
4.941,1938.8
4.951,1831.4
4.961,1744
4.971,1584.7
4.981,1400.3
4.991,1183.9
5.001,1009.5
5.011,847.16
5.021,669.78
5.031,470.4
5.041,406.03
5.051,295.65
5.061,184.27
5.071,141.89
5.081,98.518
5.091,74.141
5.101,41.663
5.111,42.02
5.121,35.377
5.131,25.698
5.141,33.97
5.151,51.241
5.161,36.513
5.171,23.784
5.181,48.04
5.191,46.296
5.201,20.553
5.211,33.789
5.221,30.025
5.231,37.261
5.241,52.497
5.251,50.734
5.261,41.97
5.271,47.206
5.281,44.442
5.291,34.678
5.301,32.915
5.311,36.151
5.321,38.387
5.331,61.623
5.341,41.859
5.351,43.095
5.361,48.332
5.371,61.568
5.381,52.804
5.391,58.04
5.401,66.276
5.411,42.513
5.421,62.749
5.431,76.985
5.441,98.221
5.451,33.457
5.461,43.693
5.471,39.93
5.481,57.166
5.491,46.402
5.501,56.638
5.511,46.874
5.521,41.111
5.531,64.347
5.541,53.583
5.551,35.819
5.561,26.055
5.571,26.276
5.581,39.497
5.591,33.719
5.601,43.94
5.611,23.161
5.621,30.362
5.631,21.563
5.641,53.754
5.651,27.945
5.661,24.136
