kilo-Electron Volt [keV],Counts
4.060,73.849
4.070,69.462
4.080,85.075
4.090,98.688
4.100,84.302
4.110,79.915
4.120,72.528
4.130,78.141
4.140,70.754
4.150,82.367
4.160,93.98
4.170,77.593
4.180,69.206
4.190,77.819
4.200,59.432
4.210,54.045
4.220,91.643
4.230,70.241
4.240,63.839
4.250,54.437
4.260,82.025
4.270,78.613
4.280,53.201
4.290,75.774
4.300,91.347
4.310,85.92
4.320,77.492
4.330,70.065
4.340,56.638
4.350,65.211
4.360,95.784
4.370,78.357
4.380,78.93
4.390,85.503
4.400,63.075
4.410,74.648
4.420,89.221
4.430,78.794
4.440,106.37
4.450,96.94
4.460,99.513
4.470,114.09
4.480,97.658
4.490,106.23
4.500,125.8
4.510,110.38
4.520,101.95
4.530,113.52
4.540,114.1
4.550,138.67
4.560,133.24
4.570,111.81
4.580,113.39
4.590,122.96
4.600,125.53
4.610,126.11
4.620,170.68
4.630,139.25
4.640,126.82
4.650,152.4
4.660,141.97
4.670,121.54
4.680,105.12
4.690,104.69
4.700,110.26
4.710,101.83
4.720,92.407
4.730,73
4.740,113.56
4.750,105.13
4.760,97.688
4.770,91.342
4.780,109.99
4.790,75.648
4.800,72.296
4.810,109.92
4.820,119.55
4.830,108.18
4.840,101.81
4.850,102.44
4.860,70.065
4.870,58.663
4.880,71.201
4.890,55.739
4.900,90.256
4.910,99.774
4.920,78.291
4.930,75.809
4.940,82.327
4.950,64.844
4.960,79.362
4.970,67.879
4.980,73.397
4.990,107.91
5.000,93.432
5.010,74.95
5.020,84.467
5.030,89.985
5.040,91.503
5.050,86.02
5.060,74.538
5.070,98.055
5.080,81.573
5.090,50.09
5.100,98.528
5.110,84.965
5.120,67.402
5.130,64.839
5.140,77.276
5.150,72.714
5.160,71.151
5.170,74.588
5.180,85.025
5.190,45.462
5.200,64.854
5.210,95.246
5.220,85.638
5.230,69.03
5.240,58.422
5.250,76.814
5.260,65.216
5.270,110.62
5.280,93.035
5.290,80.558
5.300,89.08
5.310,90.608
5.320,89.136
5.330,89.663
5.340,85.226
5.350,70.824
5.360,96.422
5.370,86.02
5.380,79.618
5.390,107.22
5.400,108.81
5.410,104.41
5.420,96.01
5.430,100.64
5.440,105.27
5.450,77.894
5.460,91.523
5.470,110.15
5.480,98.779
5.490,80.407
5.500,101.04
5.510,76.663
5.520,130.29
5.530,78.92
5.540,73.548
5.550,63.176
5.560,47.884
5.570,80.513
5.580,73.141
5.590,61.769
5.600,39.397
5.610,91.97
5.620,86.543
5.630,71.116
5.640,114.69
5.650,66.261
5.660,77.834
5.670,94.407
5.680,68.98
5.690,52.553
5.700,72.126
5.710,59.698
5.720,96.271
5.730,95.844
5.740,52.417
5.750,70.99
5.760,84.563
5.770,95.136
5.780,128.71
5.790,70.281
5.800,77.854
5.810,66.427
5.820,74
