kilo-Electron Volt [keV],Counts
4.080,133.82
4.090,150.44
4.100,156.06
4.110,104.68
4.120,85.296
4.130,131.94
4.140,138.59
4.150,154.24
4.160,172.98
4.170,121.73
4.180,140.47
4.190,143.22
4.200,107.96
4.210,101.7
4.220,110.45
4.230,135.2
4.240,139.94
4.250,164.79
4.260,147.63
4.270,121.48
4.280,125.32
4.290,112.17
4.300,104.01
4.310,102.85
4.320,138.7
4.330,111.61
4.340,121.52
4.350,129.43
4.360,127.34
4.370,96.246
4.380,108.11
4.390,110.97
4.400,151.84
4.410,145.7
4.420,146.57
4.430,133.43
4.440,89.296
4.450,75.095
4.460,98.819
4.470,130.54
4.480,148.27
4.490,126.99
4.500,130.71
4.510,130.44
4.520,148.16
4.530,140.88
4.540,110.61
4.550,146.33
4.560,122.17
4.570,110
4.580,123.83
4.590,118.67
4.600,117.5
4.610,129.34
4.620,118.17
4.630,81.005
4.640,81.799
4.650,102.59
4.660,107.39
4.670,115.21
4.680,125.04
4.690,122.89
4.700,115.75
4.710,97.613
4.720,108.47
4.730,115.33
4.740,121.19
4.750,111.05
4.760,108.91
4.770,127.77
4.780,113.63
4.790,122.49
4.800,102.35
4.810,119.21
4.820,153.07
4.830,118.92
4.840,76.784
4.850,111.53
4.860,112.28
4.870,108.03
4.880,143.78
4.890,114.53
4.900,94.276
4.910,110.03
4.920,128.77
4.930,143.52
4.940,143.27
4.950,116.02
4.960,97.814
4.970,143.61
4.980,133.4
4.990,108.2
5.000,78.99
5.010,103.73
5.020,129.48
5.030,110.24
5.040,117.99
5.050,152.75
5.060,94.513
5.070,103.27
5.080,126.03
5.090,129.79
5.100,76.548
5.110,104.26
5.120,114.96
5.130,120.67
5.140,106.38
5.150,114.09
5.160,120.8
5.170,118.51
5.180,95.216
5.190,63.925
5.200,109.54
5.210,109.15
5.220,113.76
5.230,90.377
5.240,110.03
5.250,146.67
5.260,121.32
5.270,104.97
5.280,114.62
5.290,135.27
5.300,128.91
5.310,105.56
5.320,102.21
5.330,114.86
5.340,114.51
5.350,96.156
5.360,134.8
5.370,128.45
5.380,129.1
5.390,122.76
5.400,107.42
5.410,134.08
5.420,114.73
5.430,146.39
5.440,133.05
5.450,108.71
5.460,147.37
5.470,111.03
5.480,120.68
5.490,111.34
5.500,94
5.510,105.66
5.520,92.317
5.530,85.975
5.540,58.633
5.550,76.151
5.560,97.668
5.570,117.19
5.580,126.7
5.590,124.22
5.600,98.739
5.610,119.26
5.620,85.774
5.630,71.291
5.640,77.809
5.650,92.327
5.660,87.844
5.670,94.362
5.680,81.879
5.690,79.397
5.700,88.915
5.710,91.432
5.720,83.95
5.730,106.47
5.740,47.985
5.750,88.397
5.760,69.809
5.770,121.22
5.780,104.63
5.790,62.045
5.800,65.457
5.810,81.869
5.820,97.281
5.830,106.69
5.840,67.106
5.850,73.518
5.860,128.93
5.870,113.34
5.880,62.754
5.890,103.17
5.900,88.578
5.910,145.99
5.920,65.402
5.930,91.814
5.940,91.226
5.950,116.64
5.960,74.05
5.970,120.46
5.980,93.874
5.990,67.286
6.000,91.698
6.010,79.111
6.020,97.523
6.030,76.935
6.040,45.347
6.050,79.683
6.060,81.02
6.070,102.36
6.080,77.693
6.090,62.03
6.100,49.367
6.110,82.704
6.120,115.04
6.130,89.377
6.140,56.714
6.150,59.05
6.160,80.387
6.170,62.724
6.180,57.06
6.190,115.4
6.200,74.734
6.210,80.07
6.220,68.407
6.230,40.744
6.240,84.025
6.250,75.307
6.260,85.588
6.270,118.87
6.280,46.151
6.290,122.43
6.300,92.714
6.310,101.99
6.320,83.276
6.330,131.56
6.340,150.84
6.350,135.13
6.360,137.41
6.370,156.71
6.380,185.06
6.390,179.4
6.400,160.74
6.410,167.08
6.420,194.49
6.430,146.9
6.440,138.32
6.450,188.73
6.460,154.14
6.470,157.55
6.480,89.965
6.490,86.377
6.500,122.79
6.510,86.276
6.520,96.764
6.530,82.251
6.540,29.739
6.550,61.116
6.560,70.492
6.570,54.869
6.580,41.246
6.590,92.623
6.600,53
6.610,58.377
6.620,49.754
6.630,58.131
6.640,45.508
6.650,27.884
6.660,78.231
6.670,21.578
6.680,54.889
6.690,62.201
6.700,52.513
6.710,85.824
6.720,39.136
6.730,63.447
6.740,80.759
6.750,49.07
6.760,39.382
6.770,39.693
6.780,30.005
6.790,29.317
6.800,39.628
6.810,80.94
6.820,84.251
6.830,60.563
6.840,54.874
6.850,57.186
6.860,90.497
6.870,57.809
6.880,52.121
6.890,52.432
6.900,47.744
6.910,43.055
6.920,43.367
6.930,43.678
6.940,20.99
6.950,59.256
6.960,51.523
6.970,52.789
6.980,72.055
6.990,81.322
7.000,80.588
7.010,19.854
7.020,62.106
7.030,56.357
7.040,33.608
7.050,63.859
7.060,41.111
7.070,75.362
7.080,50.613
7.090,93.864
7.100,65.116
7.110,39.367
7.120,27.719
7.130,73.07
7.140,52.578
7.150,24.09
7.160,62.603
7.170,48.251
7.180,59.899
7.190,63.548
7.200,35.196
7.210,29.844
7.220,21.492
7.230,29.106
7.240,30.739
7.250,24.427
7.260,51.116
7.270,50.804
7.280,26.492
7.290,65.181
7.300,43.869
7.310,57.558
7.320,71.246
7.330,50.935
7.340,38.623
7.350,40.312
7.360,74
7.370,29.688
7.380,41.367
7.390,75.055
7.400,39.744
7.410,75.432
7.420,74.121
7.430,67.809
7.440,99.497
7.450,60.186
7.460,87.945
7.470,99.704
7.480,73.462
7.490,75.221
7.500,72.98
7.510,81.739
7.520,108.5
7.530,74.256
7.540,72.015
7.550,46.774
7.560,123.53
7.570,87.291
7.580,46.05
7.590,90.809
7.600,60.568
7.610,80.327
7.620,71.085
7.630,76.844
7.640,61.603
7.650,63.362
7.660,78.121
7.670,126.88
7.680,93.638
7.690,75.397
7.700,79.156
7.710,72.915
7.720,77.673
7.730,106.43
7.740,100.19
7.750,98.95
7.760,101.71
7.770,118.47
7.780,98.226
7.790,159.98
7.800,173.74
7.810,206.5
7.820,262.26
7.830,290.02
7.840,405.78
7.850,528.54
7.860,766.3
7.870,1039.1
7.880,1438.8
7.890,1923.6
7.900,2603.4
7.910,3420.3
7.920,4420.2
7.930,5828
7.940,7355.9
7.950,8972.8
7.960,10842
7.970,12433
7.980,14406
7.990,16704
8.000,18416
8.011,19588
8.021,21116
8.031,21624
8.041,22050
8.051,21470
8.061,20941
8.071,19896
8.081,18462
8.091,16658
8.101,14851
8.111,12788
8.121,10954
8.131,9074.3
8.141,7342.2
8.151,5854
8.161,4751.9
8.171,3642.8
8.181,2814.6
8.191,1995.5
8.201,1442.4
8.211,1039.2
8.221,810.1
8.231,515.96
8.241,404.82
8.251,315.69
8.261,193.55
8.271,202.42
8.281,153.28
8.291,141.15
8.301,129.01
8.311,153.87
8.321,132.74
8.331,105.6
8.341,111.46
8.351,104.32
8.361,97.166
8.371,102.97
8.381,102.77
8.391,122.58
8.401,86.382
8.411,110.12
8.421,130.85
8.431,120.58
8.441,93.317
8.451,105.05
8.461,123.78
8.471,115.52
8.481,116.25
8.491,78.01
8.501,95.693
8.511,140.38
8.521,103.06
8.531,109.74
8.541,105.43
8.551,101.11
8.561,104.79
8.571,114.48
8.581,113.16
8.591,153.84
8.601,114.53
8.611,109.21
8.621,123.89
8.631,143.58
8.641,152.26
8.651,162.94
8.661,164.63
8.671,191.31
8.681,194.99
8.691,179.68
8.701,199.36
8.711,206.05
8.721,243.73
8.731,286.41
8.741,335.1
8.751,438.78
8.761,514.51
8.771,632.25
8.781,784.98
8.791,960.71
8.801,1174.4
8.811,1300.2
8.821,1498.9
8.831,1751.6
8.841,2123.4
8.851,2270.1
8.861,2565.8
8.871,2733.6
8.881,2726.3
8.891,2961.1
8.901,2961.8
8.911,2986.5
8.921,2951.3
8.931,2725
8.941,2630.7
8.951,2375.5
8.961,2184.2
8.971,1980.9
8.981,1695.7
8.991,1446.4
9.001,1287.1
9.011,1036.9
9.021,805.59
9.031,681.32
9.041,543.06
9.051,411.79
9.061,316.52
9.071,290.26
9.081,220.99
9.091,138.72
9.101,101.46
9.111,108.09
9.121,71.724
9.131,71.201
9.141,83.673
9.151,45.146
9.161,54.482
9.171,56.819
9.181,48.156
9.191,55.492
9.201,59.829
9.211,48.166
9.221,43.503
9.231,32.819
9.241,57.08
9.251,45.342
9.261,53.603
9.271,57.864
9.281,42.126
9.291,38.387
9.301,62.648
9.311,66.91
9.321,40.171
9.331,51.432
9.341,53.693
9.351,38.955
9.361,50.216
9.371,34.477
9.381,49.729
9.391,50.98
9.401,71.231
9.411,64.482
9.421,43.734
9.431,39.985
9.441,22.236
9.451,66.417
9.461,31.598
9.471,28.779
9.481,33.96
9.491,56.141
9.501,41.322
9.511,46.503
9.521,53.683
9.531,46.864
9.541,41.045
9.551,46.226
9.561,47.407
9.571,53.588
9.581,37.769
9.591,54.95
9.601,62.131
9.611,43.312
9.621,56.492
9.631,69.709
9.641,49.925
9.651,58.141
9.661,66.357
9.671,59.573
9.681,68.789
9.691,50.005
9.701,49.221
9.711,61.437
9.721,57.653
9.731,58.869
9.741,75.085
9.751,56.302
9.761,39.518
9.771,44.734
9.781,59.95
9.791,64.166
9.801,71.382
9.811,34.598
9.821,58.814
9.831,64.03
9.841,80.246
9.851,65.462
9.861,68.678
9.871,56.894
9.881,10.111
9.891,47.221
9.901,60.332
9.911,43.442
9.921,55.553
9.931,40.663
9.941,48.774
9.951,36.884
9.961,34.03
9.971,68.176
9.981,47.322
9.991,31.467
10.001,37.613
10.011,47.759
10.021,60.905
10.031,35.05
10.041,34.196
10.051,45.342
10.061,42.487
10.071,44.653
10.081,75.834
10.091,72.015
10.101,52.196
10.111,46.377
10.121,33.558
10.131,58.739
10.141,58.92
10.151,69.101
10.161,39.281
10.171,34.462
10.181,31.643
10.191,42.824
10.201,44.005
10.211,24.186
10.221,21.367
10.231,37.548
10.241,43.729
10.251,24.91
10.261,55.09
10.271,22.271
10.281,34.452
10.291,36.633
10.301,38.814
10.311,49.995
10.321,34.176
10.331,56.357
10.341,44.538
10.351,37.719
10.361,57.899
10.371,34.08
10.381,41.261
10.391,64.452
10.401,34.643
10.411,29.834
10.421,35.025
10.431,23.216
10.441,44.407
10.451,26.598
10.461,24.789
10.471,14.98
10.481,23.146
10.491,40.312
10.501,30.477
10.511,23.643
10.521,38.809
10.531,54.975
10.541,60.141
10.551,37.307
10.561,62.472
10.571,39.663
10.581,38.854
10.591,47.045
10.601,44.236
10.611,55.427
10.621,40.618
10.631,30.809
10.641,36
10.651,58.191
10.661,61.382
10.671,41.573
10.681,62.764
10.691,28.955
10.701,31.146
10.711,45.337
10.721,34.528
10.731,59.719
10.741,9.9095
10.751,37.05
10.761,51.191
10.771,43.332
10.781,41.472
10.791,60.613
10.801,40.754
10.811,41.894
10.821,68.035
10.831,43.176
10.841,42.317
10.851,61.457
10.861,35.598
10.871,30.739
10.881,21.879
10.891,35.06
10.901,31.241
10.911,48.422
10.921,39.603
10.931,14.784
10.941,41.965
10.951,37.146
10.961,36.327
10.971,41.508
10.981,44.688
10.991,61.869
11.001,46.05
11.011,63.231
11.021,44.412
11.031,26.593
11.041,41.774
11.051,30.955
11.061,36.136
11.071,31.317
11.081,36.497
11.091,23.678
11.101,50.859
11.111,57.04
11.121,28.221
11.131,26.402
11.141,42.583
11.151,33.764
11.161,40.945
11.171,52.126
11.181,50.307
11.191,38.487
11.201,43.668
11.211,39.849
11.221,37.03
11.231,36.211
11.241,50.392
11.251,44.573
11.261,30.754
11.271,32.935
11.281,37.116
11.291,39.296
11.301,39.477
11.311,55.658
11.321,26.839
11.331,32.02
11.341,23.201
11.351,52.382
11.361,34.563
11.371,46.744
11.381,34.925
11.391,25.106
11.401,44.286
11.411,38.467
11.421,38.648
11.431,39.829
11.441,32.01
11.451,27.191
11.461,65.372
11.471,47.553
11.481,43.734
11.491,35.915
11.501,29.095
11.511,39.276
11.521,51.457
11.531,35.638
11.541,34.819
11.551,52
11.561,34.181
11.571,48.362
11.581,46.543
11.591,38.734
11.601,37.925
11.611,18.116
11.621,46.271
11.631,53.472
11.641,22.673
11.651,27.874
11.661,36.075
11.671,50.276
11.681,26.477
11.691,57.678
11.701,20.879
11.711,29.08
11.721,53.281
11.731,34.482
11.741,52.683
11.751,26.884
11.761,32.085
11.771,34.286
11.781,34.487
11.791,39.688
11.801,39.889
11.811,32.09
11.821,29.291
11.831,44.492
11.841,57.693
11.851,30.894
11.861,40.161
11.871,46.427
11.881,33.693
11.891,32.96
11.901,57.226
11.911,27.492
11.921,41.759
11.931,26.025
11.941,18.291
11.951,20.523
11.961,39.754
11.971,36.985
11.981,35.216
11.991,35.447
12.001,29.678
12.011,40.91
12.021,25.141
12.031,39.372
12.041,44.603
12.051,16.834
12.061,14.045
12.071,41.241
12.081,38.437
12.091,23.633
12.101,56.829
12.111,43.025
12.121,34.221
12.131,28.417
12.141,30.613
12.151,31.809
12.161,30.005
12.171,29.201
12.181,45.397
12.191,38.593
12.201,24.789
12.211,21.985
12.221,22.181
12.231,25.377
12.241,47.573
12.251,33.769
12.261,30.965
12.271,33.161
12.281,33.357
12.291,39.553
12.301,36.749
12.311,37.945
12.321,40.141
12.331,32.337
12.341,42.533
12.351,41.729
12.361,21.925
12.371,18.121
12.381,27.307
12.391,32.492
12.401,32.678
12.411,31.864
12.421,44.05
12.431,40.266
12.441,42.482
12.451,37.698
12.461,19.915
12.471,27.131
12.481,23.347
12.491,41.563
12.501,25.779
12.511,48.995
12.521,36.211
12.531,26.427
12.541,24.643
12.551,16.859
