kilo-Electron Volt [keV],Counts
4.061,58.201
4.071,65.387
4.081,27.573
4.091,23.759
4.101,37.955
4.111,16.151
4.121,38.347
4.131,45.543
4.141,45.739
4.151,63.935
4.161,63.131
4.171,72.327
4.181,60.523
4.191,45.764
4.201,51.005
4.211,46.246
4.221,50.487
4.231,50.729
4.241,81.97
4.251,80.261
4.261,62.553
4.271,64.844
4.281,50.136
4.291,44.427
4.301,65.719
4.311,64.01
4.321,53.302
4.331,42.593
4.341,58.884
4.351,77.176
4.361,35.467
4.371,50.759
4.381,54.05
4.391,64.342
4.401,56.633
4.411,43.925
4.421,44.216
4.431,67.508
4.441,73.799
4.451,70.09
4.461,46.382
4.471,68.673
4.481,62.965
4.491,59.256
4.501,75.548
4.511,66.839
4.521,61.131
4.531,56.422
4.541,64.714
4.551,70.005
4.561,74.296
4.571,68.588
4.581,57.879
4.591,64.171
4.601,83.462
4.611,55.754
4.621,64.045
4.631,54.337
4.641,62.628
4.651,57.92
4.661,50.211
4.671,57.513
4.681,56.814
4.691,78.116
4.701,88.427
4.711,54.739
4.721,67.05
4.731,77.372
4.741,87.693
4.751,92.035
4.761,117.38
4.771,142.72
4.781,119.07
4.791,137.42
4.801,195.77
4.811,233.13
4.821,296.48
4.831,404.83
4.841,565.18
4.851,734.53
4.861,954.88
4.871,1253.4
4.881,1530.9
4.891,1907.4
4.901,2247.9
4.911,2543.4
4.921,2879.9
4.931,3092.4
4.941,3241.9
4.951,3272.4
4.961,3300.9
4.971,3093.4
4.981,2940.9
4.991,2584.4
5.001,2307.9
5.011,1968.4
5.021,1610.9
5.031,1255.4
5.041,971.93
5.051,713.43
5.061,574.93
5.071,412.44
5.081,293.94
5.091,195.44
5.101,192.94
5.111,160.45
5.121,90.95
5.131,117.45
5.141,102.95
5.151,99.457
5.161,101.96
5.171,83.462
5.181,116.96
5.191,99.467
5.201,90.97
5.211,98.472
5.221,88.975
5.231,88.477
5.241,76.98
5.251,97.482
5.261,86.985
5.271,89.487
5.281,122.99
5.291,96.492
5.301,156.99
5.311,185.5
5.321,183
5.331,218.5
5.341,232.01
5.351,307.51
5.361,303.01
5.371,392.51
5.381,433.02
5.391,473.52
5.401,519.02
5.411,565.52
5.421,531.03
5.431,584.53
5.441,559.03
5.451,536.53
5.461,470.04
5.471,434.54
5.481,427.04
5.491,307.54
5.501,338.05
5.511,268.55
5.521,184.05
5.531,131.55
5.541,172.06
5.551,143.56
5.561,140.06
5.571,95.563
5.581,82.065
5.591,60.568
5.601,106.04
5.611,88.513
5.621,62.985
5.631,88.457
5.641,61.93
5.651,44.397
5.661,53.774
5.671,62.151
5.681,46.528
5.691,59.905
5.701,72.281
5.711,94.658
5.721,35.035
5.731,57.362
5.741,106.69
5.751,80.015
5.761,71.342
5.771,50.668
5.781,80.995
5.791,49.322
5.801,87.648
5.811,70.995
5.821,79.342
5.831,71.688
5.841,56.035
5.851,78.382
5.861,73.729
5.871,88.075
5.881,85.422
5.891,110.77
5.901,84.116
5.911,94.462
5.921,75.809
5.931,50.241
5.941,95.673
5.951,96.106
5.961,94.538
5.971,72.97
5.981,73.402
5.991,61.834
6.001,113.27
6.011,82.698
6.021,85.131
6.031,73.563
6.041,68.995
6.051,69.427
6.061,51.859
6.071,64.291
6.081,46.724
6.091,54.146
6.101,87.568
6.111,94.99
6.121,95.412
6.131,73.834
6.141,70.256
6.151,61.678
6.161,104.1
6.171,41.523
6.181,67.899
6.191,68.276
6.201,57.653
6.211,49.03
6.221,78.407
6.231,33.784
6.241,96.111
6.251,94.437
6.261,82.764
6.271,110.09
6.281,109.42
6.291,126.74
6.301,99.07
6.311,163.4
6.321,92.724
6.331,117.05
6.341,132.38
6.351,190.7
6.361,168.03
6.371,141.36
6.381,189.68
6.391,158.01
6.401,151.34
6.411,166.66
6.421,169.99
6.431,172.32
6.441,131.64
6.451,151.97
6.461,153.3
6.471,114.62
6.481,119.95
6.491,87.312
6.501,105.67
6.511,97.035
6.521,117.4
6.531,81.759
6.541,59.121
6.551,71.482
6.561,73.844
6.571,45.231
6.581,68.618
6.591,67.005
6.601,90.392
6.611,101.78
6.621,70.166
6.631,87.553
6.641,77.94
6.651,46.327
6.661,60.704
6.671,82.08
6.681,45.457
6.691,93.824
6.701,92.191
6.711,44.558
6.721,64.915
6.731,41.271
6.741,101.61
6.751,84.945
6.761,40.281
6.771,45.608
6.781,55.935
6.791,114.26
6.801,47.588
6.811,87.915
6.821,60.241
6.831,77.568
6.841,58.894
6.851,13.221
6.861,112.4
6.871,65.573
6.881,92.749
6.891,62.925
6.901,72.101
6.911,60.276
6.921,84.452
6.931,89.628
6.941,106.8
6.951,69.98
6.961,85.156
6.971,90.332
6.981,84.508
6.991,94.683
7.001,72.859
7.011,116.04
7.021,66.211
7.031,82.387
7.041,53.563
7.051,86.739
7.061,70.915
7.071,76.09
7.081,41.266
7.091,87.442
7.101,66.618
7.111,108.79
7.121,55.97
7.131,113.15
