kilo-Electron Volt [keV],Counts
4.050,62.553
4.060,59.794
4.070,52.035
4.080,49.276
4.090,51.518
4.100,58.759
4.110,65
4.120,75.241
4.130,56.482
4.140,55.724
4.150,62.965
4.160,75.206
4.170,54.447
4.180,52.688
4.190,59.995
4.200,49.302
4.210,45.608
4.220,45.94
4.230,34.271
4.240,49.603
4.250,58.935
4.260,53.266
4.270,63.598
4.280,60.93
4.290,63.261
4.300,42.593
4.310,53.925
4.320,77.256
4.330,71.603
4.340,63.95
4.350,57.296
4.360,45.643
4.370,34.99
4.380,66.337
4.390,58.683
4.400,54.03
4.410,62.377
4.420,42.724
4.430,59.07
4.440,64.417
4.450,80.764
4.460,42.111
4.470,51.457
4.480,74.804
4.490,69.151
4.500,47.497
4.510,49.844
4.520,63.191
4.530,60.538
4.540,36.884
4.550,46.211
4.560,47.538
4.570,37.864
4.580,32.191
4.590,30.487
4.600,46.774
4.610,57.09
4.620,72.417
4.630,62.744
4.640,58.07
4.650,54.397
4.660,58.724
4.670,46.05
4.680,41.407
4.690,48.764
4.700,52.121
4.710,67.477
4.720,65.834
4.730,48.191
4.740,54.548
4.750,60.905
4.760,54.291
4.770,71.678
4.780,45.065
4.790,46.452
4.800,54.839
4.810,40.226
4.820,54.613
4.830,61
4.840,58.387
4.850,59.774
4.860,62.161
4.870,54.548
4.880,40.935
4.890,43.322
4.900,39.709
4.910,49.085
4.920,47.462
4.930,61.839
4.940,53.216
4.950,49.593
4.960,53.97
4.970,60.347
4.980,42.724
4.990,68.101
5.000,35.477
5.010,39.814
5.020,67.151
5.030,48.487
5.040,44.824
5.050,57.161
5.060,44.497
5.070,65.834
5.080,62.171
5.090,48.508
5.100,48.844
5.110,47.181
5.120,57.518
5.130,62.854
5.140,38.191
5.150,31.518
5.160,67.809
5.170,65.101
5.180,62.392
5.190,63.683
5.200,60.975
5.210,53.266
5.220,56.558
5.230,60.854
5.240,38.151
5.250,42.447
5.260,44.744
5.270,53.04
5.280,53.337
5.290,53.658
5.300,36.98
5.310,46.322
5.320,51.663
5.330,78.005
5.340,59.347
5.350,68.688
5.360,63.03
5.370,57.372
5.380,70.714
5.390,86.055
5.400,70.397
5.410,64.739
5.420,74.08
5.430,80.422
5.440,82.764
5.450,71.106
5.460,75.447
5.470,83.789
5.480,67.131
5.490,58.472
5.500,59.814
5.510,53.156
5.520,75.497
5.530,54.839
5.540,58.181
5.550,37.523
5.560,67.829
5.570,25.136
5.580,34.377
5.590,50.618
5.600,54.859
5.610,28.106
5.620,47.352
5.630,48.598
5.640,41.844
5.650,39.09
5.660,61.337
5.670,43.583
5.680,43.829
5.690,38.075
5.700,45.322
