kilo-Electron Volt [keV],Counts
4.070,55.799
4.080,53.327
4.090,44.839
4.100,64.307
4.110,72.774
4.120,62.241
4.130,57.709
4.140,46.176
4.150,44.709
4.160,61.231
4.170,72.754
4.180,59.276
4.190,58.799
4.200,62.322
4.210,51.844
4.220,57.367
4.230,62.889
4.240,60.412
4.250,67.935
4.260,66.457
4.270,57.98
4.280,71.503
4.290,74.025
4.300,64.548
4.310,63.07
4.320,67.593
4.330,73.116
4.340,47.638
4.350,55.126
4.360,53.613
4.370,69.101
4.380,55.588
4.390,63.075
4.400,56.563
4.410,58.05
4.420,61.538
4.430,77.025
4.440,51.513
4.450,57.995
4.460,54.477
4.470,48.96
4.480,50.422
4.490,53.884
4.500,68.347
4.510,81.809
4.520,74.271
4.530,62.734
4.540,51.196
4.550,75.653
4.560,62.111
4.570,62.568
4.580,46.025
4.590,44.447
4.600,55.859
4.610,42.271
4.620,57.668
4.630,45.065
4.640,69.462
4.650,72.859
4.660,50.256
4.670,62.653
4.680,46.05
4.690,53.447
4.700,50.844
4.710,53.241
4.720,33.638
4.730,46
4.740,58.362
4.750,49.724
4.760,60.085
4.770,58.447
4.780,61.809
4.790,60.171
4.800,48.533
4.810,39.894
4.820,43.256
4.830,54.618
4.840,55.98
4.850,64.352
4.860,69.724
4.870,66.095
4.880,56.467
4.890,71.839
4.900,62.211
4.910,44.583
4.920,61.955
4.930,51.327
4.940,66.698
4.950,75.07
4.960,53.442
4.970,45.814
4.980,45.186
4.990,56.558
5.000,72.93
5.010,64.302
5.020,53.673
5.030,59.045
5.040,49.417
5.050,54.789
5.060,58.161
5.070,68.533
5.080,28.905
5.090,27.186
5.100,42.457
5.110,35.729
5.120,44
5.130,36.271
5.140,33.543
5.150,57.814
5.160,35.085
5.170,39.357
5.180,31.628
5.190,40.899
5.200,41.171
5.210,35.442
5.220,46.724
5.230,33.005
5.240,50.286
5.250,56.568
5.260,52.849
5.270,60.131
5.280,56.412
5.290,51.693
5.300,56.975
5.310,60.256
5.320,69.548
5.330,84.839
5.340,110.13
5.350,125.42
5.360,99.714
5.370,82.005
5.380,106.3
5.390,133.59
5.400,117.88
5.410,129.17
5.420,136.46
5.430,104.75
5.440,141.05
5.450,120.34
5.460,108.63
5.470,81.92
5.480,65.211
5.490,74.503
5.500,66.794
5.510,69.085
5.520,51.377
5.530,55.668
5.540,43.96
5.550,55.251
5.560,40.543
5.570,74.834
5.580,40.126
5.590,54.412
