kilo-Electron Volt [keV],Counts
0.101,87
0.111,15
0.121,0
0.131,22.777
0.141,266.38
0.151,461
0.161,177.62
0.171,50.252
0.181,38.889
0.191,44.477
0.201,44.073
0.211,85.577
0.221,113.09
0.231,162.61
0.241,227.14
0.251,299.68
0.261,343.22
0.271,378.78
0.281,385.34
0.291,349.91
0.301,294.48
0.311,236.07
0.321,174.66
0.331,126.25
0.341,100.85
0.351,72.464
0.361,54.079
0.371,47.701
0.381,63.203
0.391,68.667
0.401,97.077
0.411,146.5
0.421,209.92
0.431,326.36
0.441,548.81
0.451,908.26
0.461,1459.7
0.471,2127.2
0.481,2958.7
0.491,3818.2
0.501,4692.6
0.511,5276.1
0.521,5510.6
0.531,5391.2
0.541,4883.7
0.551,3991.2
0.561,3016.7
0.571,2222.3
0.581,1505.8
0.591,953.38
0.601,575.93
0.611,288.5
0.621,179.07
0.631,95.641
0.641,78.221
0.651,91.806
0.661,76.397
0.671,68.994
0.681,62.595
0.691,86.17
0.701,73.75
0.711,66.335
0.721,78.846
0.731,114.28
0.741,90.726
0.751,110.16
0.761,101.6
0.771,95.042
0.781,117.49
0.791,90.953
0.801,103.35
0.811,101.75
0.821,101.16
0.831,119.55
0.841,102.96
0.851,107.34
0.861,125.66
0.871,129.99
0.881,117.33
0.891,130.6
0.901,135.86
0.911,133.13
0.921,162.41
0.931,191.7
0.941,182.99
0.951,217.3
0.961,313.61
0.971,396.93
0.981,587.25
0.991,683.58
1.001,918.92
1.011,1152.3
1.021,1353.6
1.031,1613
1.041,1558.3
1.051,1653.7
1.061,1541.1
1.071,1264.5
1.081,1116.9
1.091,875.27
1.101,663.42
1.111,486.56
1.121,357.71
1.131,279.85
1.141,260
1.151,200.15
1.161,199.29
1.171,199.44
1.181,193.58
1.191,212.73
1.201,197.87
1.211,227.02
1.221,233.17
1.231,228.31
1.241,242.46
1.251,202.6
1.261,235.75
1.271,248.89
1.281,244.04
1.291,265.19
1.301,243.33
1.311,271.48
1.321,288.62
1.331,252.77
1.341,259.91
1.351,303.06
1.361,343.21
1.371,382.35
1.381,476.5
1.391,669.64
1.401,940.79
1.411,1296.9
1.421,1948.1
1.431,2661.2
1.441,3559.4
1.451,4621.5
1.461,5559.7
1.471,6254.8
1.481,6905
1.491,7033.1
1.501,6883.2
1.511,6277.4
1.521,5336.5
1.531,4425.7
1.541,3468.8
1.551,2703
1.561,1949.1
1.571,1428.3
1.581,998.41
1.591,732.56
1.601,592.7
1.611,594.85
1.621,690.99
1.631,905.14
1.641,1385.3
1.651,2125.4
1.661,3384.6
1.671,5008.7
1.681,6906.9
1.691,9561
1.701,12246
1.711,15124
1.721,17444
1.731,19357
1.741,20102
1.751,19612
1.761,18115
1.771,15996
1.781,13589
1.791,10618
1.801,8076.6
1.811,5916.8
1.821,4301.9
1.831,3010.1
1.841,2085.2
1.851,1542.3
1.861,1063.5
1.871,801.64
1.881,560.78
1.891,398.93
1.901,287.08
1.911,209.22
1.921,134.37
1.931,108.51
1.941,84.658
1.951,69.804
1.961,57.95
1.971,61.095
1.981,64.241
1.991,42.387
2.001,47.523
2.011,53.658
2.021,52.794
2.031,46.93
2.041,70.065
2.051,69.201
2.061,57.337
2.071,69.472
2.081,57.608
2.091,54.744
2.101,55.879
2.111,56.015
2.121,46.266
2.131,47.608
2.141,56.95
2.151,51.291
2.161,48.633
2.171,57.975
2.181,77.382
2.191,73.789
2.201,66.251
2.211,69.714
2.221,70.176
2.231,69.683
2.241,79.191
2.251,68.698
2.261,55.206
2.271,40.714
2.281,46.221
2.291,65.754
2.301,77.286
2.311,98.819
2.321,84.352
2.331,64.884
2.341,67.417
2.351,78.95
2.361,65.482
2.371,63.095
2.381,74.739
2.391,48.422
2.401,42.106
2.411,62.789
2.421,71.472
2.431,81.156
2.441,70.839
2.451,64.523
2.461,65.206
2.471,70.889
2.481,70.573
2.491,69.256
2.501,67.94
2.511,63.623
2.521,54.307
2.531,54.99
2.541,53.673
2.551,75.357
2.561,85.04
2.571,58.724
2.581,59.422
2.591,76.121
2.601,59.819
2.611,59.518
2.621,59.216
2.631,53.915
2.641,49.613
2.651,55.312
2.661,46.01
2.671,44.709
2.681,64.432
2.691,82.156
2.701,61.879
2.711,53.668
2.721,64.523
2.731,74.377
2.741,60.266
2.751,65.196
2.761,67.126
2.771,59.055
2.781,51.985
2.791,53.975
2.801,72.965
2.811,70.955
2.821,58.96
2.831,66.965
2.841,65.995
2.851,62.085
2.861,65.176
2.871,72.266
2.881,80.427
2.891,64.598
2.901,60.769
2.911,84.94
2.921,73.111
2.931,62.281
2.941,74.452
2.951,77.623
2.961,86.794
2.971,93.965
2.981,77.136
2.991,61.307
3.001,60.477
3.011,83.698
3.021,82.92
3.031,73.141
3.041,80.362
3.051,77.583
3.061,79.804
3.071,85.025
3.081,80.246
3.091,85.467
3.101,99.688
3.111,92.91
3.121,87.131
3.131,104.35
3.141,127.57
3.151,131.79
3.161,147.02
3.171,171.32
3.181,213.62
3.191,299.92
3.201,427.22
3.211,565.52
3.221,765.82
3.231,1031.1
3.241,1323.4
3.251,1710.7
3.261,2173
3.271,2645.3
3.281,3060.6
3.291,3370.9
3.301,3675.2
3.311,3747.5
3.321,3690.8
3.331,3583.1
3.341,3295.4
3.351,2868.7
3.361,2414
3.371,2050.3
3.381,1646.6
3.391,1181.9
3.401,871.25
3.411,663.55
3.421,487.85
3.431,317.16
3.441,220.46
3.451,190.76
3.461,154.06
3.471,149.36
3.481,156.66
3.491,168.96
3.501,185.27
3.511,219.57
3.521,266.87
3.531,312.17
3.541,361.47
3.551,404.77
3.561,427.08
3.571,464.38
3.581,494.68
3.591,490.98
3.601,508.28
3.611,486.58
3.621,441.88
3.631,424.19
3.641,340.49
3.651,250.79
3.661,228.09
3.671,205.39
3.681,174.69
3.691,122.99
3.701,85.296
3.711,84.598
3.721,75.899
3.731,63.201
3.741,59.503
3.751,63.809
3.761,63.116
3.771,43.422
3.781,55.729
3.791,61.035
3.801,54.362
3.811,49.688
3.821,40.015
3.831,74.342
3.841,73.668
3.851,60.995
3.861,53.322
3.871,36.648
3.881,50.98
3.891,51.312
3.901,48.643
3.911,54.975
3.921,61.307
3.931,63.638
3.941,57.97
3.951,52.302
3.961,51.633
3.971,49.965
3.981,56.296
3.991,62.638
4.001,60.98
4.011,50.322
4.021,45.663
4.031,50.005
4.041,55.347
4.051,48.688
4.061,44.03
4.071,61.372
4.081,71.714
4.091,62.055
4.101,59.397
4.111,55.739
4.121,47.08
4.131,49.422
4.141,55.854
4.151,51.286
4.161,39.719
4.171,56.116
4.181,58.513
4.191,43.91
4.201,41.307
4.211,32.704
4.221,47.055
4.231,70.407
4.241,52.759
4.251,49.111
4.261,37.462
4.271,29.814
4.281,53.141
4.291,60.467
4.301,40.794
4.311,32.121
4.321,64.447
4.331,54.774
4.341,65.101
4.351,67.427
4.361,50.754
4.371,44.08
4.381,45.407
4.391,41.734
4.401,53.06
4.411,69.387
4.421,49.714
4.431,48.04
4.441,55.367
4.451,65.693
4.461,57.02
4.471,50.347
4.481,67.673
4.491,55
4.501,56.327
4.511,41.653
4.521,65.98
4.531,49.307
4.541,44.633
4.551,48.96
4.561,36.286
4.571,38.598
4.581,58.91
4.591,45.221
4.601,58.533
4.611,50.844
4.621,48.156
4.631,51.467
4.641,85.779
4.651,46.09
4.661,44.402
4.671,54.714
